ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
205767_at	1	0.00305879	-3.382249	-4.09	-1.2118262	EREG	epiregulin
220253_s_at	1	0.00310061	-3.376288	-4.09	-2.5205037	LRP12	LDL receptor related protein 12
214059_at	1	0.0033777	3.338673	-4.1	1.0668884	IFI44	interferon induced protein 44
211851_x_at	1	0.0034593	3.328172	-4.1	1.3353936	BRCA1	BRCA1, DNA repair associated
204531_s_at	1	0.00361842	3.308376	-4.11	1.7037847	BRCA1	BRCA1, DNA repair associated
213775_x_at	1	0.00364157	3.305566	-4.11	0.5981371	ZNF638-IT1///ZNF638	ZNF638 intronic transcript 1///zinc finger protein 638
205078_at	1	0.00380149	3.286628	-4.11	0.5773432	PIGF	phosphatidylinositol glycan anchor biosynthesis class F
202270_at	1	0.00381519	3.285042	-4.11	1.20911	GBP1	guanylate binding protein 1
220079_s_at	1	0.003988	3.265501	-4.12	0.4601151	USP48	ubiquitin specific peptidase 48
213577_at	1	0.0039923	3.265025	-4.12	1.1060673	SQLE	squalene epoxidase
214224_s_at	1	0.00417428	3.245343	-4.12	0.6110572	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4
204415_at	1	0.00422003	3.240527	-4.12	1.3238595	IFI6	interferon alpha inducible protein 6
202095_s_at	1	0.0042263	3.239871	-4.12	1.3088918	BIRC5	baculoviral IAP repeat containing 5
215211_at	1	0.00431403	3.23079	-4.13	0.752632	RRN3P1	RRN3 homolog, RNA polymerase I transcription factor pseudogene 1
215393_s_at	1	0.00440341	3.221721	-4.13	1.1320445	COBLL1	cordon-bleu WH2 repeat protein like 1
204069_at	1	0.00452009	-3.21015	-4.13	-1.0812262	MEIS1	Meis homeobox 1
201888_s_at	1	0.00471041	-3.191886	-4.13	-1.9862556	IL13RA1	interleukin 13 receptor subunit alpha 1
222158_s_at	1	0.00472692	3.190336	-4.14	0.6528993	DESI2	desumoylating isopeptidase 2
213789_at	1	0.00485154	3.178801	-4.14	1.4844929	EBP	emopamil binding protein (sterol isomerase)
220886_at	1	0.00498955	-3.16636	-4.14	-0.7824991	GABRQ	gamma-aminobutyric acid type A receptor theta subunit
219863_at	1	0.00501934	3.163718	-4.14	0.9825928	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
203296_s_at	1	0.00514728	3.152545	-4.14	1.4531624	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
209200_at	1	0.00539588	-3.131585	-4.15	-1.2070981	MEF2C	myocyte enhancer factor 2C
219684_at	1	0.00569424	3.107637	-4.15	1.0368519	RTP4	receptor transporter protein 4
204066_s_at	1	0.00571335	-3.106145	-4.15	-0.7483895	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
206285_at	1	0.00579443	-3.099868	-4.16	-1.5053354	NPHP1	nephrocystin 1
222176_at	1	0.00580329	-3.099187	-4.16	-1.2913941		
220933_s_at	1	0.00596291	3.087093	-4.16	0.5180512	ZCCHC6	zinc finger CCHC-type containing 6
219352_at	1	0.00615939	3.07263	-4.16	1.1390529	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
201887_at	1	0.00626705	-3.064893	-4.16	-0.8319897	IL13RA1	interleukin 13 receptor subunit alpha 1
217334_at	1	0.00626958	-3.064713	-4.16	-1.2129291	OR2J3	olfactory receptor family 2 subfamily J member 3
213722_at	1	0.00632495	-3.060786	-4.16	-1.0102743	SOX2	SRY-box 2
209969_s_at	1	0.00634871	3.059111	-4.17	1.178742	STAT1	signal transducer and activator of transcription 1
201820_at	1	0.00637406	-3.057331	-4.17	-1.1321678	KRT5	keratin 5
204886_at	1	0.00638078	3.05686	-4.17	2.0405174	PLK4	polo like kinase 4
219209_at	1	0.00651498	3.047557	-4.17	0.7359738	IFIH1	interferon induced with helicase C domain 1
215300_s_at	1	0.00666644	-3.037278	-4.17	-1.1963511	FMO5	flavin containing monooxygenase 5
213599_at	1	0.00683364	3.02619	-4.17	0.6130583	OIP5	Opa interacting protein 5
218628_at	1	0.00694481	3.018962	-4.17	0.5518768	CCDC53	coiled-coil domain containing 53
206310_at	1	0.00707339	-3.010741	-4.18	-0.9091551	SPINK2	serine peptidase inhibitor, Kazal type 2
204625_s_at	1	0.00723732	-3.000466	-4.18	-1.4292569	ITGB3	integrin subunit beta 3
208223_s_at	1	0.00724102	3.000237	-4.18	1.1592021	ACVR1B	activin A receptor type 1B
201292_at	1	0.00726973	2.998462	-4.18	1.6832743	TOP2A	topoisomerase (DNA) II alpha
AFFX-HUMISGF3A/M97935_3_at	1	0.00742463	2.988998	-4.18	0.7286011	STAT1	signal transducer and activator of transcription 1
202411_at	1	0.00746597	2.986505	-4.18	2.2339144	IFI27	interferon alpha inducible protein 27
202703_at	1	0.00777804	-2.968102	-4.19	-0.4203596	DUSP11	dual specificity phosphatase 11
203153_at	1	0.00779396	2.967183	-4.19	2.0438979	IFIT1	interferon induced protein with tetratricopeptide repeats 1
205994_at	1	0.00781435	2.966008	-4.19	1.66275	ELK4	ELK4, ETS transcription factor
209849_s_at	1	0.00784564	2.96421	-4.19	0.6375177	RAD51C	RAD51 paralog C
220485_s_at	1	0.00796177	2.957598	-4.19	0.4483369	SIRPG	signal regulatory protein gamma
206758_at	1	0.0080658	2.951754	-4.19	1.0968167	EDN2	endothelin 2
203998_s_at	1	0.00813891	2.94769	-4.19	1.6005345	SYT1	synaptotagmin 1
218585_s_at	1	0.0081658	2.946205	-4.19	0.752007	DTL	denticleless E3 ubiquitin protein ligase homolog
206332_s_at	1	0.00821642	2.94342	-4.19	0.4436529	IFI16	interferon gamma inducible protein 16
202215_s_at	1	0.00823727	2.942278	-4.19	0.4544468	NFYC	nuclear transcription factor Y subunit gamma
31835_at	1	0.00826828	2.940584	-4.19	0.8389053	HRG	histidine rich glycoprotein
214922_at	1	0.00831261	2.938174	-4.19	1.1891171	ZNF484	zinc finger protein 484
210965_x_at	1	0.00845868	2.93032	-4.2	1.1279576	CDK13	cyclin dependent kinase 13
202688_at	1	0.00862636	2.921462	-4.2	0.9390257	TNFSF10	tumor necrosis factor superfamily member 10
209605_at	1	0.00863589	-2.920963	-4.2	-1.5851884	TST	thiosulfate sulfurtransferase
209583_s_at	1	0.0088726	-2.908751	-4.2	-0.6715286	CD200	CD200 molecule
205483_s_at	1	0.00887606	2.908574	-4.2	1.3045018	ISG15	ISG15 ubiquitin-like modifier
206133_at	1	0.00895475	2.904585	-4.2	1.2099132	XAF1	XIAP associated factor 1
203375_s_at	1	0.00899275	2.902671	-4.2	0.4788995	TPP2	tripeptidyl peptidase 2
210118_s_at	1	0.00902011	2.901297	-4.2	1.1726555	IL1A	interleukin 1 alpha
218986_s_at	1	0.00902728	2.900938	-4.2	1.1564954	DDX60	DEXD/H-box helicase 60
216541_x_at	1	0.00905339	2.899632	-4.2	1.7305396	IGHM///IGHG1	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)
220502_s_at	1	0.00906525	2.89904	-4.2	1.5967429	SLC13A1	solute carrier family 13 member 1
207036_x_at	1	0.00921448	-2.891654	-4.2	-1.558634	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D
218774_at	1	0.00930363	2.887296	-4.21	0.8437257	DCPS	decapping enzyme, scavenger
206631_at	1	0.00934666	2.885207	-4.21	0.7115342	PTGER2	prostaglandin E receptor 2
213293_s_at	1	0.00957917	2.874076	-4.21	0.6258993	TRIM22	tripartite motif containing 22
219233_s_at	1	0.009583	2.873895	-4.21	0.9487763	GSDMB	gasdermin B
214773_x_at	1	0.009639	2.871254	-4.21	0.700394	TIPRL	TOR signaling pathway regulator
202845_s_at	1	0.00988129	2.859994	-4.21	0.5032297	RALBP1	ralA binding protein 1
218194_at	1	0.00992256	2.858103	-4.21	0.4322945	REXO2	RNA exonuclease 2
209642_at	1	0.00992999	2.857763	-4.21	1.7114827	BUB1	BUB1 mitotic checkpoint serine/threonine kinase
220268_at	1	0.0101193	-2.849189	-4.21	-1.6862205	AAMDC	adipogenesis associated Mth938 domain containing
205897_at	1	0.01027157	-2.842403	-4.22	-1.3890873	NFATC4	nuclear factor of activated T-cells 4
210833_at	1	0.01032682	2.839965	-4.22	1.3938587	PTGER3	prostaglandin E receptor 3
219619_at	1	0.01050586	2.832148	-4.22	1.877089	DIRAS2	DIRAS family GTPase 2
206600_s_at	1	0.01070174	-2.823741	-4.22	-0.755575	SLC16A5	solute carrier family 16 member 5
51228_at	1	0.0107536	2.82154	-4.22	0.7404388	RBM12B	RNA binding motif protein 12B
220177_s_at	1	0.01077193	2.820765	-4.22	0.543632	TMPRSS3	transmembrane protease, serine 3
201794_s_at	1	0.0108265	2.818463	-4.22	0.3813173	SMG7	SMG7, nonsense mediated mRNA decay factor
206989_s_at	1	0.01087516	2.81642	-4.22	0.4905461	SCAF11	SR-related CTD associated factor 11
213636_at	1	0.01101211	-2.810718	-4.22	-1.0944915	PHF24	PHD finger protein 24
209483_s_at	1	0.01103982	2.809572	-4.22	1.4377606	NSL1	NSL1, MIS12 kinetochore complex component
215850_s_at	1	0.01106749	2.808431	-4.22	0.5862336	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5
218597_s_at	1	0.01109965	2.807108	-4.22	0.4529254	CISD1	CDGSH iron sulfur domain 1
213912_at	1	0.01120578	2.802768	-4.23	1.1257967	TBC1D30	TBC1 domain family member 30
220751_s_at	1	0.01128499	-2.799555	-4.23	-1.6372738	FAXDC2	fatty acid hydroxylase domain containing 2
214453_s_at	1	0.01136539	2.796315	-4.23	1.6820006	IFI44	interferon induced protein 44
200732_s_at	1	0.01151746	-2.790247	-4.23	-0.4062082	PTP4A1	protein tyrosine phosphatase type IVA, member 1
208782_at	1	0.0115463	-2.789104	-4.23	-0.757361	FSTL1	follistatin like 1
207016_s_at	1	0.0115753	2.787958	-4.23	1.0389572	LOC101928635///ALDH1A2	uncharacterized LOC101928635///aldehyde dehydrogenase 1 family member A2
207550_at	1	0.01159521	-2.787173	-4.23	-1.6244846	MPL	MPL proto-oncogene, thrombopoietin receptor
215607_x_at	1	0.01179825	2.77924	-4.23	0.5851627		
211368_s_at	1	0.0119087	2.774979	-4.23	0.6267049	CASP1	caspase 1
215428_at	1	0.0120658	-2.768983	-4.23	-1.0179428		
203610_s_at	1	0.01222106	2.76313	-4.23	0.5062472	TRIM38	tripartite motif containing 38
204439_at	1	0.01245668	2.754382	-4.24	3.0495632	IFI44L	interferon induced protein 44 like
217238_s_at	1	0.01252631	2.751827	-4.24	0.8359223	ALDOB	aldolase, fructose-bisphosphate B
205875_s_at	1	0.01256879	2.750275	-4.24	1.6031599	ATRIP///TREX1	ATR interacting protein///three prime repair exonuclease 1
210729_at	1	0.01259991	2.749141	-4.24	1.4931566	NPY2R	neuropeptide Y receptor Y2
217648_at	1	0.01263833	-2.747745	-4.24	-0.7553578		
206933_s_at	1	0.01272406	2.744644	-4.24	1.0903165	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase
216960_s_at	1	0.01279696	2.742023	-4.24	0.4888508	ZNF133	zinc finger protein 133
200887_s_at	1	0.01299741	2.734888	-4.24	0.6296644	STAT1	signal transducer and activator of transcription 1
209762_x_at	1	0.01310362	2.73115	-4.24	0.4858978	SP110	SP110 nuclear body protein
203889_at	1	0.01317849	2.728533	-4.24	0.5409632	SCG5	secretogranin V
219566_at	1	0.01324584	-2.72619	-4.24	-0.6396443	PLEKHF1	pleckstrin homology and FYVE domain containing 1
218856_at	1	0.01330267	-2.724222	-4.24	-1.1861278	TNFRSF21	TNF receptor superfamily member 21
218400_at	1	0.01330561	2.724121	-4.24	1.0277148	OAS3	2'-5'-oligoadenylate synthetase 3
216336_x_at	1	0.01349605	2.717585	-4.25	0.5201092	MT1E	metallothionein 1E
203213_at	1	0.01367445	2.711542	-4.25	0.9941817	CDK1	cyclin dependent kinase 1
200923_at	1	0.01390924	2.703702	-4.25	0.7263135	LGALS3BP	galectin 3 binding protein
217145_at	1	0.01393097	2.702983	-4.25	1.6417435	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
209909_s_at	1	0.013952	2.702288	-4.25	1.7354196	TGFB2	transforming growth factor beta 2
207426_s_at	1	0.01400753	-2.700458	-4.25	-0.6523874	TNFSF4	tumor necrosis factor superfamily member 4
208966_x_at	1	0.01405891	2.69877	-4.25	0.4468363	IFI16	interferon gamma inducible protein 16
220911_s_at	1	0.01409623	-2.697548	-4.25	-0.9722814	NYNRIN	NYN domain and retroviral integrase containing
214266_s_at	1	0.0142534	-2.692435	-4.25	-1.5837979	PDLIM7	PDZ and LIM domain 7
204750_s_at	1	0.01430286	-2.690837	-4.25	-1.0699739	DSC2	desmocollin 2
217167_x_at	1	0.01437031	-2.688667	-4.25	-1.2822694	GK	glycerol kinase
202888_s_at	1	0.0144269	-2.686853	-4.25	-0.8739593	ANPEP	alanyl aminopeptidase, membrane
221854_at	1	0.01443808	-2.686495	-4.25	-0.6754203	PKP1	plakophilin 1
214150_x_at	1	0.01450224	2.684448	-4.25	0.4763263	ATP6V0E1	ATPase H+ transporting V0 subunit e1
217979_at	1	0.01455204	-2.682866	-4.25	-0.8683561	TSPAN13	tetraspanin 13
201862_s_at	1	0.01463133	2.680357	-4.25	0.4122015	LRRFIP1	LRR binding FLII interacting protein 1
219364_at	1	0.014713	2.677785	-4.25	1.6978697	DHX58	DEXH-box helicase 58
214863_at	1	0.01472144	2.677521	-4.25	1.5581768		
202153_s_at	1	0.01478181	2.67563	-4.25	0.5772751	NUP62	nucleoporin 62
201433_s_at	1	0.0149337	-2.670904	-4.26	-0.3544612	PTDSS1	phosphatidylserine synthase 1
221657_s_at	1	0.01499624	-2.668972	-4.26	-0.4096279	ASB6	ankyrin repeat and SOCS box containing 6
213294_at	1	0.01503298	2.66784	-4.26	0.8540175	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2
206265_s_at	1	0.01510136	2.665741	-4.26	1.4709973	GPLD1	glycosylphosphatidylinositol specific phospholipase D1
219819_s_at	1	0.01520191	2.662671	-4.26	0.4761762	MRPS28	mitochondrial ribosomal protein S28
32402_s_at	1	0.0154277	2.655846	-4.26	0.7402048	SYMPK	symplekin
219833_s_at	1	0.01546828	-2.654629	-4.26	-1.4797359	EFHC1	EF-hand domain containing 1
218591_s_at	1	0.01548087	-2.654252	-4.26	-0.8505229	NOL10	nucleolar protein 10
205250_s_at	1	0.01555567	2.65202	-4.26	0.5046486	CEP290	centrosomal protein 290
203050_at	1	0.01590019	2.641865	-4.26	0.5578599	TP53BP1	tumor protein p53 binding protein 1
217475_s_at	1	0.0159735	-2.639731	-4.26	-1.0349569	LIMK2	LIM domain kinase 2
201678_s_at	1	0.01600153	2.638918	-4.26	0.3685198	HMCES	5-hydroxymethylcytosine (hmC) binding, ES cell-specific
214240_at	1	0.0160611	-2.637193	-4.26	-1.2099039	GAL	galanin and GMAP prepropeptide
205789_at	1	0.01607188	-2.636882	-4.26	-1.3523928	CD1D	CD1d molecule
213808_at	1	0.01618489	-2.633629	-4.26	-1.5826033	ADAM23	ADAM metallopeptidase domain 23
204142_at	1	0.01627988	2.630912	-4.27	0.6966275	ENOSF1	enolase superfamily member 1
214179_s_at	1	0.01629325	2.630531	-4.27	0.6639061	NFE2L1	nuclear factor, erythroid 2 like 1
207489_at	1	0.01631176	2.630004	-4.27	1.0853691	RPS2P45	ribosomal protein S2 pseudogene 45
220682_s_at	1	0.01639443	2.627655	-4.27	0.8251946	KLHL5	kelch like family member 5
221770_at	1	0.01650765	2.624457	-4.27	1.0124591	RPE	ribulose-5-phosphate-3-epimerase
220088_at	1	0.01652985	-2.623833	-4.27	-1.6090671	C5AR1	complement component 5a receptor 1
203893_at	1	0.01653588	2.623663	-4.27	0.5225751	AK6	adenylate kinase 6
213238_at	1	0.01658962	-2.622155	-4.27	-0.6192347	ATP10D	ATPase phospholipid transporting 10D (putative)
201274_at	1	0.01676197	2.617349	-4.27	0.5971059	PSMA5	proteasome subunit alpha 5
205755_at	1	0.01684235	2.615124	-4.27	1.1708134	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3
217836_s_at	1	0.0168678	2.614421	-4.27	0.3933749	YY1AP1	YY1 associated protein 1
208702_x_at	1	0.01697694	-2.61142	-4.27	-0.388984	APLP2	amyloid beta precursor like protein 2
213497_at	1	0.01698959	-2.611073	-4.27	-0.7432387	ABTB2	ankyrin repeat and BTB domain containing 2
218195_at	1	0.0169985	2.610829	-4.27	0.7377095	ARMT1	acidic residue methyltransferase 1
202139_at	1	0.01711981	-2.607518	-4.27	-0.3302994	AKR7A2	aldo-keto reductase family 7 member A2
203684_s_at	1	0.01722501	2.604665	-4.27	1.2649195	BCL2	BCL2, apoptosis regulator
210129_s_at	1	0.01729039	2.6029	-4.27	0.9182633	ARPC4-TTLL3///TTLL3///ARPC4	ARPC4-TTLL3 readthrough///tubulin tyrosine ligase like 3///actin related protein 2/3 complex subunit 4
202864_s_at	1	0.01730213	2.602584	-4.27	0.6494384	SP100	SP100 nuclear antigen
204641_at	1	0.01733763	2.601629	-4.27	1.7507034	NEK2	NIMA related kinase 2
202322_s_at	1	0.01750434	2.597168	-4.27	0.3968202	GGPS1	geranylgeranyl diphosphate synthase 1
204385_at	1	0.01766448	-2.592921	-4.27	-1.1733593	KYNU	kynureninase
40837_at	1	0.01767034	-2.592767	-4.27	-0.4940307	TLE2	transducin like enhancer of split 2
208164_s_at	1	0.01794536	-2.585559	-4.28	-0.9891875	IL9R	interleukin 9 receptor
215111_s_at	1	0.01825822	-2.577486	-4.28	-0.9347548	TSC22D1	TSC22 domain family member 1
201196_s_at	1	0.0184052	-2.573738	-4.28	-0.3520617	AMD1	adenosylmethionine decarboxylase 1
216380_x_at	1	0.01842276	-2.573292	-4.28	-0.4641793		
207589_at	1	0.01852971	-2.570585	-4.28	-0.9456183	ADRA1B	adrenoceptor alpha 1B
214329_x_at	1	0.01854072	2.570307	-4.28	1.2807476	TNFSF10	tumor necrosis factor superfamily member 10
219174_at	1	0.01872013	2.565802	-4.28	1.5642105	IFT74	intraflagellar transport 74
216291_at	1	0.01910727	-2.556216	-4.28	-0.8189829	ZNF440	zinc finger protein 440
208838_at	1	0.01917116	2.554652	-4.28	0.5571961	CAND1	cullin associated and neddylation dissociated 1
203140_at	1	0.01925375	-2.552637	-4.28	-0.5783922	BCL6	B-cell CLL/lymphoma 6
205504_at	1	0.01939666	-2.54917	-4.28	-1.1519527	BTK	Bruton tyrosine kinase
205119_s_at	1	0.01947516	-2.547276	-4.29	-0.7614396	FPR1	formyl peptide receptor 1
211863_x_at	1	0.01951467	2.546325	-4.29	0.7561733	HFE	hemochromatosis
205267_at	1	0.01971259	2.54159	-4.29	0.7809121	POU2AF1	POU class 2 associating factor 1
213261_at	1	0.01997996	2.535263	-4.29	0.3924948	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1
206392_s_at	1	0.02007804	-2.532962	-4.29	-0.7767138	RARRES1	retinoic acid receptor responder 1
208581_x_at	1	0.02025956	2.528732	-4.29	0.4587287	MT1X	metallothionein 1X
222335_at	1	0.02036635	2.52626	-4.29	0.5959691		
215360_at	1	0.02037114	2.526149	-4.29	1.4845451		
212379_at	1	0.02037154	2.52614	-4.29	0.6969349	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
215173_at	1	0.02043332	-2.524716	-4.29	-1.026215	DNAAF1	dynein axonemal assembly factor 1
219281_at	1	0.020499	-2.523206	-4.29	-0.3785806	MSRA	methionine sulfoxide reductase A
202404_s_at	1	0.02051638	2.522807	-4.29	1.2304007	COL1A2	collagen type I alpha 2 chain
214317_x_at	1	0.02059634	-2.520977	-4.29	-0.7478397	RPS9	ribosomal protein S9
221223_x_at	1	0.02065407	2.519659	-4.29	0.7208121	CISH	cytokine inducible SH2 containing protein
211522_s_at	1	0.02081973	2.515898	-4.29	1.7748818	GNRHR	gonadotropin releasing hormone receptor
205444_at	1	0.02102058	-2.511375	-4.29	-0.5585242	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1
209623_at	1	0.02105906	2.510513	-4.29	0.3588658	MCCC2	methylcrotonoyl-CoA carboxylase 2
222336_at	1	0.0210954	-2.509701	-4.29	-1.469134	SMIM14	small integral membrane protein 14
222061_at	1	0.02140308	-2.502873	-4.3	-1.0303425	CD58	CD58 molecule
204400_at	1	0.0215067	-2.500595	-4.3	-1.630741	EFS	embryonal Fyn-associated substrate
211565_at	1	0.02154237	-2.499812	-4.3	-1.033369	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3
215990_s_at	1	0.02161696	-2.498181	-4.3	-0.9497565	BCL6	B-cell CLL/lymphoma 6
206202_at	1	0.02163423	-2.497804	-4.3	-1.5446589	MEOX2	mesenchyme homeobox 2
220297_at	1	0.02191973	-2.491613	-4.3	-1.2411144	BTBD7	BTB domain containing 7
213835_x_at	1	0.02196295	-2.490682	-4.3	-0.3787931	GTPBP3	GTP binding protein 3 (mitochondrial)
117_at	1	0.02197136	-2.490501	-4.3	-0.6073493	HSPA6	heat shock protein family A (Hsp70) member 6
209841_s_at	1	0.02199237	2.49005	-4.3	0.9407975	LRRN3	leucine rich repeat neuronal 3
216468_s_at	1	0.02201548	2.489553	-4.3	0.8922911	ZNF682	zinc finger protein 682
222062_at	1	0.02202972	2.489248	-4.3	0.4965225	IL27RA	interleukin 27 receptor subunit alpha
204191_at	1	0.02216287	2.4864	-4.3	0.5310075	IFNAR1	interferon alpha and beta receptor subunit 1
216815_at	1	0.02216899	-2.486269	-4.3	-0.7484178		
218161_s_at	1	0.02234357	-2.48256	-4.3	-1.1603022	CLN6	ceroid-lipofuscinosis, neuronal 6, late infantile, variant
212808_at	1	0.0223454	2.482521	-4.3	0.3955907	NFATC2IP	nuclear factor of activated T-cells 2 interacting protein
208925_at	1	0.02235238	2.482373	-4.3	0.7138206	CLDND1	claudin domain containing 1
206269_at	1	0.02238924	-2.481594	-4.3	-1.1420398	GCM1	glial cells missing homolog 1
201789_at	1	0.02246096	2.480081	-4.3	1.4602864	PCNX4	pecanex homolog 4 (Drosophila)
216383_at	1	0.02252194	-2.478798	-4.3	-0.8380563		
219817_at	1	0.02252955	-2.478638	-4.3	-0.4373807	MAPKAPK5-AS1	MAPKAPK5 antisense RNA 1
216193_at	1	0.0226183	-2.476777	-4.3	-1.6760742		
203313_s_at	1	0.02262612	-2.476613	-4.3	-0.673435	TGIF1	TGFB induced factor homeobox 1
201506_at	1	0.02269016	-2.475275	-4.3	-1.1653545	TGFBI	transforming growth factor beta induced
203711_s_at	1	0.0226933	2.47521	-4.3	1.0716851	HIBCH	3-hydroxyisobutyryl-CoA hydrolase
213797_at	1	0.02270738	2.474916	-4.3	1.1806092	RSAD2	radical S-adenosyl methionine domain containing 2
216179_x_at	1	0.02272563	2.474536	-4.3	1.1877164		
212142_at	1	0.02273381	2.474365	-4.3	0.8646836	MCM4	minichromosome maintenance complex component 4
38037_at	1	0.02273485	-2.474344	-4.3	-0.8157387	HBEGF	heparin binding EGF like growth factor
212819_at	1	0.02275974	-2.473825	-4.3	-0.4052818	ASB1	ankyrin repeat and SOCS box containing 1
216824_at	1	0.02276367	2.473744	-4.3	1.2357746		
206147_x_at	1	0.02285553	-2.471836	-4.3	-0.4850267	SCML2	sex comb on midleg-like 2 (Drosophila)
220258_s_at	1	0.02306592	2.467495	-4.3	1.1266902	WRAP53	WD repeat containing antisense to TP53
564_at	1	0.02308378	-2.467128	-4.3	-0.4062311	GNA11	G protein subunit alpha 11
212094_at	1	0.02313148	-2.466149	-4.3	-1.2817257	PEG10	paternally expressed 10
211366_x_at	1	0.02314738	2.465824	-4.3	0.4532668	CASP1	caspase 1
202912_at	1	0.02330467	-2.462613	-4.3	-0.4924627	ADM	adrenomedullin
213888_s_at	1	0.02335174	2.461655	-4.31	0.3765531	TRAF3IP3	TRAF3 interacting protein 3
218182_s_at	1	0.02336751	2.461335	-4.31	1.3626108	CLDN1	claudin 1
204445_s_at	1	0.02346489	-2.459362	-4.31	-1.1304014	ALOX5	arachidonate 5-lipoxygenase
214379_at	1	0.0236853	-2.454925	-4.31	-0.8380677	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like
221474_at	1	0.02373106	2.454009	-4.31	0.457452	MYL12B	myosin light chain 12B
217412_at	1	0.02374568	2.453716	-4.31	0.5428059		
209970_x_at	1	0.02389311	2.450776	-4.31	0.5345334	CASP1	caspase 1
210643_at	1	0.02400567	-2.448543	-4.31	-1.5332663	TNFSF11	tumor necrosis factor superfamily member 11
